AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,ACTIVIDA,UBIGEO,DOMINIO,ESTRATO,CODINFOR,PERIODO,E1,E1A1,E1B,E2,E3,E4A1,E4B1,E4A2,E4B2,E4A3,E4B3,E4A4,E4B4,E4A5,E4B5,E5,E6A,E6B,E8A,E8B,E8C,E9A,E9A1,E13A,E13B,E13C,E14T,E15,E15GG,E16T,E17T,E18,E18GG,E19T,E20T,E21,E21GG,E22T,E23ST,E23T,E24T,E25ST1,E25ST2,E25ST3,E25ST4,E25T1,E25T2,E25T3,TICUEST04,TIPOCUESTIONARIO,FACTORA07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2021,01,005030,047,11,01,1,010201,7,4,01,2,3,8,3,3, , , , , , , , , , , ,5,15,5,1,0,0,5,0,0,0,3, , , , , , , , ,1039,2, ,380,31,31, ,0,0,659,659,0,31,628,2,2,104.538330078125,86.833061431821,006618,00
2021,01,005030,047,11,02,1,010201,7,4,01,2,3,8,3,7,1,2, ,2, ,1,1,2, ,2, ,5,30,5,2,0,1,5,0,0,2,0, , , , ,990,1,430,400, , , , ,140,160,0,0,1020,0,1020,0,160,860,2,2,138.486129760742,136.078190849419,006618,00
2021,01,005030,055,11,01,2,010201,7,4,01,2,3,6,3,10,1,2, ,2, ,2, ,2, ,2, ,5,20,0,1,0,0,6,0,1,0,0,450,2, ,25, , , , , , , , ,16,16, ,425,0,0,425,0,16,409,2,2,28.6416282653809,23.1403475820192,006618,00
2021,01,005035,075,11,02,1,010206,7,5,02,2,3,8,3,10,1,2, ,2, ,1,2,2, ,2, ,3,0,3,2,0,1,3,0,0,2,0, , , , ,390,1,87,260, , , , ,12,12,0,0,217,0,217,0,12,205,2,2,244.764053344727,145.080220224977,006635,00
2021,01,005035,089,11,01,1,010206,7,5,01,2,3,8,3,10,2,2, ,2, ,1,2,2, ,2, ,2,0,2,2,0,1,2,0,0,2,0, , , , ,385,1,13,260, , , , ,7,7,0,0,138,0,138,0,7,131,2,2,373.862335205078,238.109407960313,006635,00
2021,01,005035,089,11,01,2,010206,7,5,01,2,3,8,3,1, , , , , , , , , , , ,5,4,0,1,0,0,4,0,0,0,3, , , , , , , , ,1603,1,43,779,62,62, ,0,0,867,867,0,62,805,2,2,373.862335205078,238.109407960313,006635,00
2021,01,005035,117,11,01,1,010206,7,5,01,2,3,8,4,2, , , , , , , , , , , ,5,0,1,1,0,0,1,0,0,0,3, , , , , , , , ,325,2, , ,0,0, ,0,0,325,325,0,0,325,2,2,373.862335205078,238.109407960313,006635,00
2021,07,005036,089,11,01,2,010206,7,5,01,3,3,7,4,10,2,2, ,2, ,2, ,2, ,2, ,5,1,2,1,0,0,12,0,0,2,0, , , , ,150,2, ,50, , , , ,12,12, ,0,100,0,100,0,12,88,2,2,257.951843261719,198.543248560933,006637,00
2021,07,005036,167,11,01,1,010206,7,5,01,3,3,8,3,1, , , , , , , , , , , ,5,13,0,4,1,2,12,0,0,2,0, , , , ,3200,1,30,1400, , , , ,300,300,200,0,1830,0,1830,200,300,1330,2,2,324.183990478516,244.884342929194,006637,00
2021,11,005037,006,11,01,1,010701,7,4,01,2,3,6,4,8,1,1,2,2, ,1,2,2, ,2, ,3,36,0,1,0,0,12,0,1,0,0,909,2, ,303, , , , , , , , ,30,30,0,0,0,606,606,0,30,576,2,2,88.967041015625,65.0985036837385,006666,00
2021,11,005037,017,11,01,1,010701,7,4,01,2,3,6,4,3, , , , , , , , , , , ,3,20,0,1,0,0,12,0,0,0,3, , , , , , , , ,1819,2, ,671,0,0,0,0,0,1148,1148,0,0,1148,2,2,71.9040679931641,56.4849683244773,006666,00
2021,11,005037,073,11,02,1,010701,7,4,01,2,1, ,1,7,1,1,3,2, ,1,1,2, ,1,1,5,0,11,1,0,0,11,0,0,2,0, , , , ,12990,1,15,9526, , , , ,1463,1533, ,0,3479,0,3479,0,1533,1946,2,2,259.293701171875,183.670059280584,006666,00
2021,11,005037,095,11,02,1,010701,7,4,02,2,3,6,3,10,2,1,2,2, ,1,2,2, ,2, ,5,1,6,3,0,2,12,0,0,2,0, , , , ,9310,1,861,7578, , , , ,219,219,0,0,2593,0,2593,0,219,2374,2,2,148.119689941406,125.828875413713,006666,00
2021,07,005038,011,11,01,1,010701,7,4,01,2,3,6,3,9,1,2, ,2, ,1,2,2, ,2, ,2,10,0,2,0,1,11,0,0,2,0, , , , ,909,1,43,700, , , , ,35,35,0,0,252,0,252,0,35,217,2,2,138.019973754883,116.789455689246,006668,00
2021,07,005038,040,11,01,1,010701,7,4,01,2,3,8,4,2, , , , , , , , , , , ,2,44,0,1,0,0,12,0,0,0,3, , , , , , , , ,433,2, , ,0,0, ,0,0,433,433,0,0,433,2,2,105.829711914063,99.7278958294534,006668,00
2021,07,005038,040,11,01,2,010701,7,4,01,2,3,7,4,3, , , , , , , , , , , ,2,15,0,1,0,0,12,0,0,0,3, , , , , , , , ,217,2, ,43,0,0, ,0,0,174,174,0,0,174,2,2,105.829711914063,99.7278958294534,006668,00
2021,03,005039,101,11,03,1,010701,7,4,03,2,3,8,3,1, , , , , , , , , , , ,5,5,0,1,0,0,12,0,0,2,0, , , , ,1600,2, ,0, , , , ,0,0,0,0,0,1600,1600,0,0,1600,2,2,251.93147277832,224.45580091306,006673,00
2021,03,005039,101,11,04,1,010701,7,4,04,2,3,8,3,3, , , , , , , , , , , ,5,1,0,1,0,0,1,0,0,0,3, , , , , , , , ,606,2, ,280,40,40,0,0,0,326,326,0,40,286,2,2,345.506652832031,264.289500023629,006673,00
2021,03,005039,114,11,01,1,010701,7,4,01,2,3,6,3,1, , , , , , , , , , , ,5,0,2,2,0,1,2,0,0,2,0, , , , ,1400,1,80,660, , , , ,95,95,0,0,820,0,820,0,95,725,2,2,300.625610351563,266.612261809101,006673,00
2021,09,005044,013,11,01,2,010701,7,4,01,2,3,8,4,10,2,1,2,1,2,2, ,2, ,2, ,5,2,1,1,0,0,12,0,0,0,3, , , , , , , , ,130,2, , ,15,15, ,0,0,130,130,0,15,115,2,2,331.170654296875,217.532156859174,006698,00
2021,09,005044,028,11,01,1,010701,7,4,01,2,3,8,4,2, , , , , , , , , , , ,5,0,8,1,0,0,8,0,0,0,3, , , , , , , , ,600,2, , ,0,0, ,0,0,600,600,0,0,600,2,2,404.737915039063,245.617153513075,006698,00
2021,09,005044,059,11,01,1,010701,7,4,01,2,3,8,4,3, , , , , , , , , , , ,5,0,2,1,0,0,2,0,0,0,3, , , , , , , , ,1677,2, ,655,19,19, ,0,0,1022,1022,0,19,1003,2,2,404.737915039063,245.617153513075,006698,00
2021,09,005044,059,11,02,1,010701,7,4,02,2,3,8,3,1, , , , , , , , , , , ,5,10,0,1,0,0,12,0,0,2,0, , , , ,1039,1,56,776, , , , ,15,15, ,0,319,0,319,0,15,304,2,2,257.323852539063,136.228454540129,006698,00
2021,09,005044,130,11,01,1,010701,7,4,01,2,3,8,4,10,3,1,2,1,2,1,2,2, ,2, ,5,0,1,2,0,1,1,0,0,0,3, , , , , , , , ,2598,1,1169,1510,232,232,0,0,0,2257,2257,0,232,2025,2,2,282.882690429688,176.367745958779,006698,00
2021,05,005045,013,11,03,1,010701,7,4,03,2,3,6,4,3, , , , , , , , , , , ,5,0,6,1,0,0,6,0,0,0,3, , , , , , , , ,1299,2, ,312,46,46, ,0,0,987,987,0,46,941,2,2,321.075134277344,207.273773031325,006699,00
2021,05,005045,013,11,04,1,010701,7,4,04,2,3,6,4,3, , , , , , , , , , , ,5,0,6,1,0,0,6,0,0,0,3, , , , , , , , ,1299,2, ,312,45,45, ,0,0,987,987,0,45,942,2,2,321.075134277344,207.273773031325,006699,00
2021,05,005045,047,11,01,2,010701,7,4,01,2,3,6,4,10,1,2, ,2, ,1,2,2, ,2, ,5,20,3,3,1,1,12,0,1,0,3,1700,2, ,630, , , , ,518,2, ,105,101,101,350,1070,0,413,1483,350,101,1032,2,2,264.323028564453,161.427761216869,006699,00
2021,05,005045,047,11,02,1,010701,7,4,02,2,3,8,3,1, , , , , , , , , , , ,5,12,11,1,0,0,12,0,0,2,0, , , , ,1500,2, ,700, , , , ,110,110, ,0,800,0,800,0,110,690,2,2,182.86637878418,112.069144275589,006699,00
2021,01,005049,003,11,02,1,010701,7,4,02,2,3,8,3,9,1,2, ,2, ,1,2,2, ,2, ,3,2,0,3,0,2,12,0,0,2,3, , , , ,866,1,346,650,220,2, ,200,41,41,0,0,562,20,582,0,41,541,2,2,211.974319458008,101.827939659051,006719,00
2021,01,005049,003,11,02,2,010701,7,4,02,2,3,8,4,10,1,1,2,2, ,1,2,2, ,2, ,5,2,0,1,0,0,5,0,0,0,3, , , , , , , , ,778,1,485,564,117,117, ,0,0,699,699,0,117,582,2,2,211.974319458008,101.827939659051,006719,00
2021,01,005049,019,11,02,1,010701,7,4,02,2,3,8,4,10,1,2, ,2, ,2, ,2, ,2, ,5,2,0,1,0,0,12,0,1,0,0,40,2, ,18, , , , , , , , ,0,0, ,22,0,0,22,0,0,22,2,2,330.959991455078,171.488381295501,006719,00
2021,03,005057,093,11,01,1,010307,7,5,01,3,3,9,3,2, , , , , , , , , , , ,5,1,2,2,1,0,12,0,1,0,0,3000,2, ,0, , , , , , , , ,120,120,1500,0,0,3000,3000,1500,120,1380,2,2,189.82975769043,160.530001658738,006885,00
2021,03,005057,107,11,01,1,010307,7,5,01,3,3,8,3,10,1,2, ,2, ,2, ,2, ,2, ,5,0,2,1,0,0,2,0,0,2,0, , , , ,1230,2, ,665, , , , ,77,77,0,0,565,0,565,0,77,488,2,2,205.047927856445,187.685960272546,006885,00
2021,03,005061,022,11,01,1,010502,4,5,01,2,3,8,4,10,3,2, ,2, ,1,2,2, ,2, ,5,5,0,1,0,0,12,0,0,2,0, , , , ,217,1,65,140, , , , ,6,6, ,0,142,0,142,0,6,136,2,2,206.281097412109,147.818642261096,006939,00
2021,03,005061,022,11,01,2,010502,4,5,01,2,3,8,4,10,3,1,2,2, ,2, ,2, ,2, ,2,0,3,1,0,0,3,0,1,0,0,120,1,1,20, , , , , , , , ,1,1, ,0,0,101,101,0,1,100,2,2,206.281097412109,147.818642261096,006939,00
2021,03,005061,034,11,02,1,010502,4,5,02,2,3,6,3,10,1,1,2,2, ,2, ,2, ,2, ,5,0,1,2,0,1,1,0,0,2,0, , , , ,546,1,65,403, , , , ,32,32,0,0,208,0,208,0,32,176,2,2,290.003814697266,182.168320332919,006939,00
2021,03,005061,070,11,01,1,010502,4,5,01,2,3,6,3,8,3,2, ,2, ,1,1,2, ,1,1,4,5,0,1,0,0,12,0,0,2,3, , , , ,700,2, ,300,500,2, ,10,60,60,0,0,400,490,890,0,60,830,2,2,573.888244628906,387.92930554816,006939,00
2021,03,005061,083,11,01,1,010502,4,5,01,2,3,8,4,9,3,2, ,2, ,1,2,2, ,2, ,2,3,0,1,0,0,12,0,0,0,3, , , , , , , , ,155,2, ,60,6,6, ,0,0,95,95,0,6,89,2,2,647.833618164063,427.248088024909,006939,00
2021,12,005066,030,11,01,2,010601,7,5,01,1,3,8,4,3, , , , , , , , , , , ,5,12,0,1,0,0,12,0,0,0,3, , , , , , , , ,520,2, ,145,33,33, ,0,0,375,375,0,33,342,2,2,112.687232971191,103.353232105162,007201,00
2021,12,005066,030,11,02,1,010601,7,5,02,1,1, ,4,10,2,1,2,2, ,1,2,2, ,2, ,2,2,3,2,0,1,12,0,0,2,3, , , , ,779,1,50,433,368,1,43,277,42,62,0,0,396,134,530,0,62,468,2,2,67.3213043212891,64.8078333031378,007201,00
2021,12,005066,045,11,01,1,010601,7,5,01,1,1, ,3,8,2,1,2,1,2,1,2,2, ,2, ,3,9,8,1,0,0,12,0,0,2,3, , , , ,12990,1,200,12000,130,2, , ,580,600, ,0,1190,130,1320,0,600,720,2,2,57.4292602539063,63.0282802985895,007201,00
2021,12,005066,045,11,01,2,010601,7,5,01,1,3,8,4,2, , , , , , , , , , , ,3,18,0,1,0,0,12,0,0,0,3, , , , , , , , ,650,2, , ,0,0, ,0,0,650,650,0,0,650,2,2,57.4292602539063,63.0282802985895,007201,00
2021,04,005073,023,11,01,2,010403,7,7,01,4,3,8,4,11,4,2, ,2, ,2, ,2, ,2, ,5,5,0,2,0,1,12,0,1,0,0,250,1,30,119, , , , , , , , ,0,0,0,161,0,0,161,0,0,161,2,2,86.5352783203125,90.7107607871741,006475,00
2021,04,005073,026,11,01,2,010403,7,7,01,4,3,8,4,3, , , , , , , , , , , ,5,2,0,1,0,0,3,0,0,0,3, , , , , , , , ,240,2, ,123,0,0, ,0,0,117,117,0,0,117,2,2,71.5138854980469,73.7377341806539,006475,00
2021,04,005073,069,11,01,2,010403,7,7,01,4,3,8,4,11,4,2, ,2, ,2, ,2, ,2, ,5,6,0,2,0,1,12,0,1,0,0,150,1,30,16, , , , , , , , ,0,0,0,164,0,0,164,0,0,164,2,2,71.5138854980469,73.7377341806539,006475,00
2021,04,005073,072,11,01,2,010403,7,7,01,4,3,8,4,2, , , , , , , , , , , ,5,1,0,1,0,0,12,0,0,0,3, , , , , , , , ,80,2, , ,0,0, ,0,0,80,80,0,0,80,2,2,78.0777206420898,82.2060811283024,006475,00
2021,04,005073,081,11,01,2,010403,7,7,01,4,3,8,4,11,4,2, ,2, ,2, ,2, ,2, ,5,15,0,1,0,0,12,0,1,0,0,140,1,28,32, , , , , , , , ,0,0, ,136,0,0,136,0,0,136,2,2,86.5352783203125,90.7107607871741,006475,00
2021,06,005074,047,11,01,2,010403,7,7,01,2,3,8,4,9,1,2, ,2, ,2, ,2, ,2, ,5,2,0,2,0,1,12,0,0,2,0, , , , ,3031,1,260,3000, , , , ,9,9,0,0,291,0,291,0,9,282,2,2,145.972396850586,153.379717020124,006480,00
2021,06,005074,048,11,01,2,010403,7,7,01,2,3,8,4,3, , , , , , , , , , , ,2,0,5,1,0,0,5,0,0,0,3, , , , , , , , ,909,2, ,301,0,0, ,0,0,608,608,0,0,608,2,2,79.3103332519531,82.7661869736879,006480,00
2021,06,005074,049,11,01,2,010403,7,7,02,2,3,8,4,10,1,2, ,2, ,2, ,2, ,2, ,5,0,6,4,0,3,6,0,0,2,0, , , , ,960,2, ,720, , , , ,0,0,0,0,240,0,240,0,0,240,2,2,86.5352783203125,90.7107607871741,006480,00
2021,06,005074,049,11,02,1,010403,7,7,02,2,3,8,4,1, , , , , , , , , , , ,5,0,9,1,0,0,9,0,0,2,0, , , , ,350,1,80,320, , , , ,0,0, ,0,110,0,110,0,0,110,2,2,55.8673706054688,57.9617835766025,006480,00
2021,06,005074,049,11,03,1,010403,7,7,03,2,3,8,4,3, , , , , , , , , , , ,5,1,0,1,0,0,12,0,0,0,3, , , , , , , , ,866,2, ,307,17,17, ,0,0,559,559,0,17,542,2,2,65.1252288818359,68.2137032693177,006480,00
