AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,ACTIVIDA,UBIGEO,DOMINIO,ESTRATO,CODINFOR,PERIODO,E24A,E24B,E24C,E24D,E24E1,E24E2,E24F,E24G,E24H,E24I,TIPOCUESTIONARIO,FACTORA07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2021,06,005074,136,11,01,1,010403,7,7,01,2,2,2,14,4,2,0,2,0,2,1,2,70.2347564697266,73.6219032885215,006480,00
2021,01,005079,032,11,01,1,010401,7,8,01,4,1,2,31,4,0,5,70,0,2,1,2,72.1156463623047,62.6406274170186,006510,00
2021,01,005079,033,11,02,1,010401,7,8,02,4,1,1,29,4,0,3,7,0,2,1,2,80.4466171264648,69.8731304061534,006510,00
2021,01,005079,036,11,02,1,010401,7,8,02,4,1,1,40,4,0,9,21,0,2,1,2,42.7198104858398,36.6941641398167,006510,00
2021,01,005079,036,11,02,1,010401,7,8,02,4,2,1,15,4,0,9,28,0,2,1,2,42.7198104858398,36.6941641398167,006510,00
2021,12,005088,016,11,02,1,010202,7,7,02,2,1,2,22,6,0,2,8,0,2,1,2,43.6167984008789,45.1848333714748,006571,00
2021,09,005103,069,11,01,1,010701,7,7,01,4,1,1,22,4,1,6,46,1500,2,2,2,72.4412460327148,76.0001057144411,006753,00
2021,09,005103,069,11,01,1,010701,7,7,01,4,2,1,27,4,2,5,46,1500,2,2,2,72.4412460327148,76.0001057144411,006753,00
2021,09,005103,071,11,02,1,010701,7,7,02,4,1,2,11,3,1,0,18,0,2,1,2,43.9810066223145,45.5854463887015,006753,00
2021,09,005103,071,11,02,1,010701,7,7,02,4,2,2,29,5,0,4,70,0,2,1,2,43.9810066223145,45.5854463887015,006753,00
2021,10,005119,045,11,02,1,010705,7,7,02,4,1,1,48,4,10,0,12,0,2,1,2,66.4336166381836,69.9031780406753,006869,00
2021,10,005119,045,11,02,1,010705,7,7,02,4,2,2,20,6,1,4,5,0,2,1,2,66.4336166381836,69.9031780406753,006869,00
2021,10,005119,045,11,02,1,010705,7,7,02,4,3,1,16,5,2,0,7,0,2,1,2,66.4336166381836,69.9031780406753,006869,00
2021,10,005119,045,11,04,1,010705,7,7,04,4,1,1,48,4,2,0,6,0,2,1,2,57.4798240661621,59.7808690158073,006869,00
2021,10,005119,045,11,04,1,010705,7,7,04,4,2,2,20,6,1,4,5,0,2,1,2,57.4798240661621,59.7808690158073,006869,00
2021,10,005119,046,11,04,1,010705,7,7,04,4,1,2,52,3,3,0,21,0,2,1,2,67.4824066162109,70.3794588473287,006869,00
2021,10,005119,048,11,01,1,010705,7,7,01,4,1,1,17,4,0,2,14,600,2,2,2,43.6167984008789,45.1848333714748,006869,00
2021,10,005119,101,11,01,2,010705,7,7,01,4,1,2,11,3,3,0,18,0,2,1,2,82.1357574462891,86.0410866020926,006869,00
2021,10,005132,159,11,02,1,010512,4,7,02,3,1,1,54,6,10,0,7,0,2,1,2,53.0136184692383,56.6188979459992,006957,00
2021,10,005132,161,11,02,1,010512,4,7,02,3,1,1,32,4,0,6,8,0,2,1,2,91.6011047363281,98.8399647551794,006957,00
2021,10,005132,161,11,02,1,010512,4,7,02,3,2,2,10,3,0,6,14,0,2,1,2,91.6011047363281,98.8399647551794,006957,00
2021,04,005134,002,11,01,1,010520,4,7,01,4,1,1,35,3,5,0,5,100,2,1,2,54.8287353515625,61.4495337376525,006967,00
2021,04,005134,002,11,01,1,010520,4,7,01,4,2,1,20,4,5,0,15,0,2,1,2,54.8287353515625,61.4495337376525,006967,00
2021,04,005134,002,11,01,1,010520,4,7,01,4,3,1,12,3,3,0,10,0,2,1,2,54.8287353515625,61.4495337376525,006967,00
2021,02,005135,030,11,02,1,010510,4,6,02,4,1,2,21,6,0,6,35,0,2,1,2,72.1439437866211,58.4546809722539,006968,00
2021,02,005135,048,11,02,2,010510,4,6,02,4,1,2,14,4,1,0,4,0,2,1,2,72.1439437866211,58.4546809722539,006968,00
2021,02,005135,082,11,02,2,010510,4,6,02,4,1,2,9,3,0,2,35,0,2,1,2,48.5450782775879,38.6888814831636,006968,00
2021,01,005138,118,11,01,1,010513,4,7,01,4,1,1,20,3,0,10,30,500,2,2,2,74.5812759399414,60.3260534546323,007002,00
2021,01,005138,118,11,01,1,010513,4,7,01,4,2,1,18,3,0,11,30,500,2,2,2,74.5812759399414,60.3260534546323,007002,00
2021,07,005181,039,11,01,1,021801,2,2,01,1,1,2,13,4,3,0,21,0,2,2,2,110.529968261719,98.7407712035555,012181,00
2021,07,005181,058,11,01,1,021801,2,2,01,1,1,1,66,3,0,1,6,0,2,1,2,127.966606140137,121.529509740769,012181,00
2021,07,005181,058,11,01,1,021801,2,2,01,1,2,1,10,3,0,1,8,0,2,1,2,127.966606140137,121.529509740769,012181,00
2021,05,005184,006,11,01,1,021801,2,2,01,2,1,2,40,4,21,2,30,700,2,2,2,84.6471633911133,83.0380510068978,012209,00
2021,05,005184,006,11,01,2,021801,2,2,01,2,1,2,21,6,2,2,60,0,2,1,2,84.6471633911133,83.0380510068978,012209,00
2021,01,005186,038,11,04,1,021801,2,2,04,1,1,1,38,6,0,1,9,0,2,1,2,105.169540405273,131.622510957307,012234,00
2021,01,005186,073,11,01,1,021801,2,2,01,1,1,2,41,4,0,1,20,0,2,1,2,75.0366439819336,86.0267372462099,012234,00
2021,01,005186,073,11,01,1,021801,2,2,01,1,2,2,22,4,0,1,15,0,2,1,2,75.0366439819336,86.0267372462099,012234,00
2021,01,005186,073,11,01,1,021801,2,2,01,1,3,1,18,4,0,1,10,0,2,1,2,75.0366439819336,86.0267372462099,012234,00
2021,11,005187,093,22,01,2,021801,2,2,01,1,1,2,13,4,0,1,3,0,2,1,2,110.453590393066,108.655337122976,012248,00
2021,11,005187,117,11,04,1,021801,2,2,04,1,1,1,82,3,0,1,21,0,2,1,2,64.1831893920898,57.9207989407444,012248,00
2021,11,005187,117,11,04,1,021801,2,2,04,1,2,2,74,3,0,1,7,0,2,1,2,64.1831893920898,57.9207989407444,012248,00
2021,04,005190,037,11,02,1,021801,2,2,02,4,1,2,72,1,0,1,10,0,2,1,2,105.337745666504,79.1516598777125,012284,00
2021,04,005190,088,11,01,1,021801,2,2,01,4,1,2,22,6,0,1,60,0,2,1,2,92.6457061767578,92.3046161192617,012284,00
2021,04,005190,124,33,01,1,021801,2,2,01,4,1,1,28,4,0,1,35,520,2,2,2,175.96174621582,156.338831345469,012284,00
2021,04,005190,124,33,01,1,021801,2,2,01,4,2,1,14,4,0,1,21,0,2,1,2,175.96174621582,156.338831345469,012284,00
2021,12,005210,005,11,02,1,021809,2,2,02,1,1,2,15,4,0,1,15,0,2,1,2,337.706604003906,295.330163348219,012526,00
2021,01,005212,075,11,01,1,021809,2,2,01,1,1,2,12,3,0,1,7,0,2,1,2,232.304412841797,358.124179457799,012536,00
2021,05,005215,043,11,02,1,021808,2,5,02,3,1,1,47,4,0,1,40,0,2,1,2,237.943893432617,211.408874417687,012570,00
2021,04,005222,007,11,01,1,020801,2,4,01,3,1,2,29,6,0,1,60,1200,2,1,2,128.290023803711,109.512732934008,013108,00
2021,04,005222,007,11,01,1,020801,2,4,01,3,2,2,27,6,1,1,24,600,2,2,2,128.290023803711,109.512732934008,013108,00
2021,04,005222,046,11,01,1,020801,2,4,01,3,1,2,35,4,0,1,12,0,2,1,2,76.6932067871094,74.9232516269535,013108,00
2021,11,005231,141,11,02,1,021804,5,7,02,4,1,1,11,3,1,0,6,0,2,1,2,129.534149169922,135.189718344152,012589,00
2021,09,005237,036,11,02,1,021507,5,6,02,4,1,2,10,3,0,1,14,0,2,1,2,129.503219604492,135.335249641264,012723,00
2021,09,005237,091,11,02,1,021507,5,6,02,4,1,1,55,3,0,1,8,0,2,1,2,129.503219604492,135.335249641264,012723,00
2021,01,005244,011,11,01,1,020105,5,3,01,1,1,2,59,3,0,2,1,0,2,1,2,296.164978027344,549.234583099514,013224,00
2021,01,005244,105,11,01,1,020105,5,3,01,1,1,1,18,4,0,3,48,0,2,1,2,278.122772216797,499.590846397666,013224,00
2021,01,005244,105,11,01,1,020105,5,3,01,1,2,1,17,4,0,1,48,0,2,1,2,278.122772216797,499.590846397666,013224,00
2021,04,005246,026,11,01,1,020105,5,3,01,2,1,1,19,4,0,6,36,650,2,1,2,234.292922973633,232.955919021212,013242,00
2021,04,005246,026,11,02,1,020105,5,3,02,2,1,1,31,4,0,1,3,0,2,1,2,152.951583862305,144.924838527233,013242,00
2021,04,005246,026,11,02,1,020105,5,3,02,2,2,1,6,3,0,1,2,0,2,1,2,152.951583862305,144.924838527233,013242,00
2021,04,005246,026,11,02,1,020105,5,3,02,2,3,2,15,4,0,6,70,650,2,2,2,152.951583862305,144.924838527233,013242,00
2021,11,005251,018,11,02,1,020105,5,3,02,2,1,1,49,5,0,6,6,0,2,1,2,315.329467773438,287.0054035957,013278,00
2021,11,005251,018,11,02,1,020105,5,3,02,2,2,2,11,3,0,6,20,0,2,1,2,315.329467773438,287.0054035957,013278,00
2021,11,005251,018,11,06,1,020105,5,3,01,2,1,1,49,5,0,1,1,0,2,1,2,143.783935546875,126.002191684677,013278,00
2021,11,005251,018,11,06,1,020105,5,3,01,2,2,2,28,4,0,1,2,0,2,1,2,143.783935546875,126.002191684677,013278,00
2021,11,005251,048,11,01,2,020105,5,3,01,2,1,1,25,5,12,0,2,120,2,1,2,281.159484863281,271.964324227715,013278,00
2021,03,005256,013,11,01,2,020101,5,3,01,1,1,1,14,4,0,1,3,30,2,1,2,196.968795776367,249.236650984527,013315,00
2021,03,005256,036,11,01,1,020101,5,3,02,1,1,1,35,5,0,1,6,50,2,1,2,146.019332885742,214.6511000282,013315,00
2021,03,005256,069,11,01,1,020101,5,3,01,1,1,2,86,3,0,5,18,0,2,1,2,141.461776733398,232.038402645083,013315,00
2021,01,005257,002,11,01,1,020101,5,3,01,1,1,2,40,4,0,2,52,0,2,1,2,137.787445068359,188.945556391122,013318,00
2021,01,005257,079,11,01,1,020101,5,3,01,1,1,2,11,3,0,1,14,0,2,1,2,149.267578125,178.061476053357,013318,00
2021,01,005257,079,11,02,2,020101,5,3,02,1,1,2,47,4,8,0,10,0,2,1,2,168.284240722656,211.788246627406,013318,00
2021,07,005259,085,11,02,2,020101,5,3,02,1,1,2,76,1,0,1,2,0,2,1,2,38.0291595458984,38.6988043481114,013333,00
2021,10,005260,092,11,02,1,020101,5,3,02,1,1,2,32,6,5,0,9,0,2,1,2,116.459518432617,115.346490791651,013337,00
2021,05,005263,059,11,02,1,020101,5,3,02,1,1,1,56,5,30,0,9,0,2,1,2,114.020294189453,115.184702040707,013362,00
2021,05,005270,058,11,01,1,021201,5,5,01,2,1,1,50,5,0,5,60,550,2,1,2,237.730224609375,228.224222799954,012848,00
2021,05,005270,058,11,01,1,021201,5,5,01,2,2,2,42,4,0,4,40,0,2,1,2,237.730224609375,228.224222799954,012848,00
2021,12,005276,015,11,02,1,020701,5,5,02,3,1,1,41,4,11,0,7,0,2,1,2,532.702514648438,508.874170423059,013588,00
2021,12,005276,015,11,02,1,020701,5,5,02,3,2,1,13,4,4,0,28,0,2,1,2,532.702514648438,508.874170423059,013588,00
2021,12,005276,015,11,02,1,020701,5,5,02,3,3,2,11,3,2,0,21,0,2,1,2,532.702514648438,508.874170423059,013588,00
2021,12,005313,022,11,02,1,020108,5,7,02,1,1,1,67,3,0,3,2,0,2,1,2,129.434097290039,135.477614608531,013483,00
2021,06,005325,142,11,01,2,020305,5,7,01,3,1,1,24,5,0,1,3,150,2,2,2,158.996932983398,168.314598559545,013624,00
2021,11,005344,004,11,02,1,030109,6,3,02,1,1,1,51,4,4,0,12,0,2,1,2,476.753875732422,405.26345359853,036435,00
2021,11,005344,044,11,01,1,030109,6,3,02,1,1,2,22,6,0,4,8,0,2,1,2,476.753875732422,405.26345359853,036435,00
2021,11,005344,044,11,01,1,030109,6,3,02,1,2,2,12,3,0,1,9,0,2,1,2,476.753875732422,405.26345359853,036435,00
2021,11,005344,071,11,01,2,030109,6,3,01,1,1,1,24,4,0,1,48,3500,2,2,2,397.544586181641,301.909018944017,036435,00
2021,11,005344,071,11,01,2,030109,6,3,01,1,2,1,30,4,0,1,48,3500,2,2,2,397.544586181641,301.909018944017,036435,00
2021,11,005344,085,11,01,1,030109,6,3,01,1,1,2,16,4,0,2,12,0,2,1,2,309.4951171875,185.921569119951,036435,00
2021,09,005361,082,11,01,2,030604,6,5,01,3,1,2,57,5,10,0,24,0,2,1,2,191.839599609375,104.656923111148,036110,00
2021,05,005381,125,11,02,1,030401,6,5,02,4,1,1,48,3,2,0,6,0,2,1,2,554.23046875,332.880245369824,036669,00
2021,04,005393,100,11,04,1,030602,6,7,04,2,1,2,52,1,1,0,14,0,2,1,2,85.1468811035156,92.8517830916562,036171,00
2021,04,005393,100,11,04,1,030602,6,7,04,2,2,2,17,4,0,1,32,0,2,1,2,85.1468811035156,92.8517830916562,036171,00
2021,03,005394,192,11,02,1,030601,6,7,02,3,1,2,15,4,6,0,18,0,2,1,2,125.427658081055,209.563462923505,036178,00
2021,12,005406,064,11,02,1,030106,6,6,01,3,1,2,35,3,3,0,48,780,2,2,2,67.7059783935547,63.1080710728024,036579,00
2021,12,005406,064,11,02,1,030106,6,6,01,3,2,2,28,4,0,3,48,520,2,2,2,67.7059783935547,63.1080710728024,036579,00
2021,06,005409,097,11,02,1,030213,6,7,02,2,1,1,12,4,0,8,24,0,2,1,2,115.677589416504,122.26843008032,036320,00
2021,06,005409,097,11,02,2,030213,6,7,02,2,1,1,14,4,0,6,48,0,2,1,2,115.677589416504,122.26843008032,036320,00
2021,06,005409,259,11,02,1,030213,6,7,02,2,1,1,30,4,0,8,8,0,2,1,2,163.115707397461,166.846902415583,036320,00
2021,05,005427,074,11,01,1,030210,6,7,01,2,1,1,9,3,0,11,5,0,2,1,2,163.115707397461,166.846902415583,036432,00
2021,11,005440,029,11,02,1,030107,6,7,02,3,1,2,14,4,0,1,8,0,2,1,2,84.1398468017578,76.3215132988743,036605,00
2021,11,005440,029,11,02,2,030107,6,7,02,3,1,1,57,3,0,1,24,0,2,1,2,84.1398468017578,76.3215132988743,036605,00
2021,11,005440,030,11,02,2,030107,6,7,02,3,1,1,68,4,2,0,24,0,2,1,2,67.7059783935547,63.1080710728024,036605,00
2021,11,005440,036,11,02,1,030107,6,7,02,3,1,2,34,4,1,0,24,0,2,1,2,67.7059783935547,63.1080710728024,036605,00
2021,11,005440,036,11,02,2,030107,6,7,02,3,1,2,35,4,1,0,5,0,2,1,2,67.7059783935547,63.1080710728024,036605,00
2021,05,005459,009,11,02,1,030712,6,8,02,3,1,1,18,6,0,9,10,0,2,1,2,56.0924873352051,58.079277613258,036772,00
2021,05,005459,009,11,02,1,030712,6,8,02,3,2,1,18,6,0,9,8,0,2,1,2,56.0924873352051,58.079277613258,036772,00
2021,09,005469,040,11,01,1,030504,6,7,01,2,1,1,10,3,2,0,14,0,2,1,2,89.0586395263672,97.6620549165701,036866,00
2021,09,005469,044,11,02,1,030504,6,7,02,2,1,1,28,4,0,1,24,0,2,1,2,120.991966247559,128.602658295531,036866,00
2021,01,005480,070,11,01,2,040104,6,1,01,1,1,2,20,6,0,1,56,0,2,1,2,237.72900390625,329.295954196874,042227,00
2021,01,005480,070,11,01,2,040104,6,1,01,1,2,1,19,6,0,1,30,0,2,1,2,237.72900390625,329.295954196874,042227,00
2021,02,005486,054,11,01,2,040104,6,1,01,1,1,2,25,6,0,2,10,0,2,1,2,243.903762817383,318.64941509643,042290,00
2021,02,005486,067,11,01,1,040104,6,1,02,1,1,1,18,4,0,6,16,606,2,1,2,217.498031616211,303.696823436095,042290,00
2021,02,005486,067,11,01,1,040104,6,1,02,1,2,1,99,1,0,6,32,1210,2,2,2,217.498031616211,303.696823436095,042290,00
2021,01,005511,007,11,01,1,040103,6,1,01,1,1,1,25,4,1,0,54,1299,2,2,2,594.246887207031,554.601686482043,042619,00
2021,01,005511,007,11,01,1,040103,6,1,01,1,2,1,25,5,1,0,54,0,2,1,2,594.246887207031,554.601686482043,042619,00
2021,01,005511,007,11,01,1,040103,6,1,01,1,3,1,19,4,1,0,54,0,2,1,2,594.246887207031,554.601686482043,042619,00
2021,01,005511,057,11,01,1,040103,6,1,01,1,1,2,65,3,4,0,42,0,2,1,2,662.638671875,581.279352943182,042619,00
2021,01,005511,106,11,01,1,040103,6,1,01,1,1,2,21,5,4,0,14,0,2,1,2,594.246887207031,554.601686482043,042619,00
2021,01,005511,106,11,01,1,040103,6,1,01,1,2,1,17,4,3,0,14,0,2,1,2,594.246887207031,554.601686482043,042619,00
2021,01,005511,122,11,01,1,040103,6,1,01,1,1,1,45,4,0,1,60,1735,2,2,2,689.651306152344,649.13210071458,042619,00
2021,01,005511,122,11,01,1,040103,6,1,01,1,2,1,27,4,0,1,60,1732,1,2,2,689.651306152344,649.13210071458,042619,00
2021,01,005511,122,11,01,1,040103,6,1,01,1,3,1,19,5,0,1,15,390,2,1,2,689.651306152344,649.13210071458,042619,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,1,1,20,4,2,0,46,950,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,2,1,28,4,1,5,46,950,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,3,1,30,5,3,0,46,1100,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,4,1,43,5,1,0,46,1400,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,5,1,41,5,3,0,46,1200,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,6,1,35,5,1,5,46,1500,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,7,1,24,4,1,1,46,950,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,8,1,44,5,2,4,46,1400,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,9,1,28,4,2,0,46,1200,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,10,1,41,4,2,6,46,1300,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,11,1,32,5,1,8,46,1400,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,12,1,43,4,2,1,46,1000,2,2,2,689.651306152344,649.13210071458,042707,00
