"ano","ubigeo","conglome","vivienda","hogar","codperso","dominio","estrato","sexo","p208a","estciv","lengua","ultani","razest","trabsp","catocu","tipcon","otrtra","interh","id_individuo","edad"
"2022","010201","005030","059","11","04","7","4","2","25","1","4","3",NA,"1","5","7","2","0","010201_005030_059_11_04",25
"2022","010201","005030","059","11","05","7","4","1","27","1","4","4",NA,"1","4","7","2","0","010201_005030_059_11_05",27
"2022","010201","005030","059","11","08","7","4","1","18","6","4","5","1","2",NA,NA,NA,"0","010201_005030_059_11_08",18
"2022","010201","005030","059","11","11","7","4","2","26","6","4","3",NA,"2",NA,NA,NA,"0","010201_005030_059_11_11",26
"2022","010701","005049","003","11","04","7","4","1","19","6","4","6","9","2",NA,NA,NA,"1","010701_005049_003_11_04",19
"2022","010701","005049","009","11","03","7","4","1","27","6","4","7",NA,"1","2",NA,"2","0","010701_005049_009_11_03",27
"2022","010701","005049","024","11","03","7","4","1","22","6","4","6","1","2",NA,NA,NA,"0","010701_005049_024_11_03",22
"2022","010513","005138","028","11","04","4","7","2","28","6","4","6",NA,"1","5","7","2","0","010513_005138_028_11_04",28
"2022","010513","005138","028","11","06","4","7","1","22","1","4","5","9","1","2",NA,"2","0","010513_005138_028_11_06",22
"2022","010513","005138","118","11","02","4","7","2","26","1","4","6",NA,"1","5","7","1","1","010513_005138_118_11_02",26
"2022","010513","005138","120","11","03","4","7","1","21","6","4","3","1","1","4","7","1","0","010513_005138_120_11_03",21
"2022","010513","005138","120","11","04","4","7","1","18","6","4","3","9","1","4","7","2","0","010513_005138_120_11_04",18
"2022","010514","005140","026","11","03","4","8","1","27","6","4","6",NA,"1","4","7","1","1","010514_005140_026_11_03",27
"2022","010514","005140","026","11","04","4","8","1","23","6","4","8","1","1","5","7","2","1","010514_005140_026_11_04",23
NA,"010514","005140","027","11","04","4","8","1","20","6",NA,NA,NA,NA,NA,NA,NA,NA,"010514_005140_027_11_04",20
NA,"021801","005186","011","11","02","2","2","1","19","6",NA,NA,NA,NA,NA,NA,NA,NA,"021801_005186_011_11_02",19
"2022","021801","005186","033","11","04","2","2","1","22","1","4","9","2","1","4","2","2","1","021801_005186_033_11_04",22
"2022","021801","005186","033","11","05","2","2","2","22","1","4","9","1","1","3","7","2","1","021801_005186_033_11_05",22
"2022","020101","005257","084","11","03","5","3","1","28","5","4","10",NA,"1","2",NA,"2","1","020101_005257_084_11_03",28
"2022","040104","005480","042","11","03","6","1","1","18","6","4","6","1","1","5","7","2","1","040104_005480_042_11_03",18
"2022","040104","005480","085","11","01","6","1","1","24","6","4","9","6","1","3","7","2","1","040104_005480_085_11_01",24
"2022","040103","005511","124","11","03","6","1","1","23","6","4","9","6","2",NA,NA,NA,"1","040103_005511_124_11_03",23
"2022","040103","005511","124","11","04","6","1","2","18","6","4","9","6","2",NA,NA,NA,"1","040103_005511_124_11_04",18
"2022","040129","005559","048","11","05","6","1","2","28","6","4","10",NA,"1","3","5","2","1","040129_005559_048_11_05",28
"2022","040129","005559","171","11","03","6","1","1","25","6","4","10",NA,"2",NA,NA,NA,"1","040129_005559_171_11_03",25
"2022","040129","005559","232","11","03","6","1","1","22","6","4","10","3","1","3","2","2","1","040129_005559_232_11_03",22
"2022","040129","005559","232","11","04","6","1","2","19","6","4","9",NA,"2",NA,NA,NA,"1","040129_005559_232_11_04",19
"2022","040122","005570","089","11","03","6","1","1","24","6","4","10","2","2","3","2","2","1","040122_005570_089_11_03",24
"2022","040122","005570","089","11","04","6","1","1","22","6","4","9","6","2","5","7","2","1","040122_005570_089_11_04",22
"2022","040122","005570","109","11","03","6","1","1","22","6","4","8",NA,"2",NA,NA,NA,"1","040122_005570_109_11_03",22
"2022","040122","005570","109","11","04","6","1","1","20","6","4","8","3","2",NA,NA,NA,"1","040122_005570_109_11_04",20
"2022","040413","005591","065","11","04","3","5","1","20","6","4","6","1","2","5","7","2","1","040413_005591_065_11_04",20
NA,"040413","005591","065","11","05","3","5","2","22","6",NA,NA,NA,NA,NA,NA,NA,NA,"040413_005591_065_11_05",22
"2022","040413","005591","100","11","03","3","5","1","18","6","1","6","1","2","5","7","2","0","040413_005591_100_11_03",18
NA,"040413","005591","100","11","05","3","5","2","21","1",NA,NA,NA,NA,NA,NA,NA,NA,"040413_005591_100_11_05",21
