"ano","ubigeo","conglome","vivienda","hogar","codperso","dominio","estrato","sexo","p208a","estciv","lengua","ultani","razest","trabsp","catocu","tipcon","otrtra","interh","id_individuo","edad"
"2023","021801","005192","024","11","04","2","2","Hombre","21","6","4","9",NA,"No",NA,NA,NA,"Sí","021801_005192_024_11_04",21
"2023","021801","005192","072","11","03","2","2","Mujer","29","6","4","9",NA,"Sí","3","7","No","Sí","021801_005192_072_11_03",29
"2023","021801","005192","085","11","02","2","2","Hombre","22","6","4","7",NA,"Sí","4","7","No","Sí","021801_005192_085_11_02",22
"2023","021801","005192","101","11","04","2","2","Mujer","26","6","4","10",NA,"Sí","3","7","No","Sí","021801_005192_101_11_04",26
"2023","021809","005209","063","11","02","2","2","Hombre","23","6","4","6",NA,"Sí","2",NA,"No","Sí","021809_005209_063_11_02",23
"2023","021809","005209","090","11","03","2","2","Hombre","23","6","4","9",NA,"No",NA,NA,NA,"Sí","021809_005209_090_11_03",23
"2023","021809","005209","090","11","04","2","2","Hombre","29","5","4","10",NA,"Sí","2",NA,"No","Sí","021809_005209_090_11_04",29
NA,"020801","005222","038","11","05","2","4","Hombre","21","6",NA,NA,NA,NA,NA,NA,NA,NA,"020801_005222_038_11_05",21
"2023","020801","005222","065","11","02","2","4","Mujer","22","6","4","9","6","No",NA,NA,NA,"Sí","020801_005222_065_11_02",22
NA,"021804","005231","145","11","03","5","7","Hombre","20","6",NA,NA,NA,NA,NA,NA,NA,NA,"021804_005231_145_11_03",20
"2023","020101","005257","007","11","02","5","3","Hombre","27","6","4","10",NA,"Sí","3","5","No","Sí","020101_005257_007_11_02",27
"2023","020101","005257","007","11","03","5","3","Hombre","27","6","4","10",NA,"Sí","3","5","Sí","Sí","020101_005257_007_11_03",27
"2023","020101","005257","050","11","02","5","3","Mujer","24","6","4","9","6","No",NA,NA,NA,"Sí","020101_005257_050_11_02",24
"2023","020101","005257","061","11","02","5","3","Hombre","28","6","4","8",NA,"Sí","3","2","Sí","Sí","020101_005257_061_11_02",28
"2023","020101","005263","108","11","02","5","3","Mujer","19","6","4","9",NA,"No",NA,NA,NA,"Sí","020101_005263_108_11_02",19
"2023","020101","005263","121","11","02","5","3","Mujer","25","6","4","7",NA,"Sí","2",NA,"No","Sí","020101_005263_121_11_02",25
"2023","020701","005276","006","11","03","5","5","Mujer","24","6","1","10","3","Sí","3","5","No","Sí","020701_005276_006_11_03",24
"2023","021209","005285","053","11","03","5","7","Hombre","28","1","4","5",NA,"Sí","2",NA,"No","Sí","021209_005285_053_11_03",28
"2023","021303","005297","009","11","03","5","7","Mujer","18","6","1","6",NA,"No",NA,NA,NA,"Sí","021303_005297_009_11_03",18
NA,"021303","005297","009","11","05","5","7","Mujer","25","2",NA,NA,NA,NA,NA,NA,NA,NA,"021303_005297_009_11_05",25
NA,"021303","005297","009","11","06","5","7","Hombre","26","2",NA,NA,NA,NA,NA,NA,NA,NA,"021303_005297_009_11_06",26
"2023","021303","005297","010","11","03","5","7","Hombre","21","6","1","7",NA,"Sí","4","7","No","Sí","021303_005297_010_11_03",21
"2023","021303","005297","012","11","03","5","7","Hombre","21","6","1","7",NA,"Sí","4","7","No","Sí","021303_005297_012_11_03",21
"2023","021303","005297","012","11","04","5","7","Mujer","18","6","1","6",NA,"Sí","4","7","No","Sí","021303_005297_012_11_04",18
"2023","021303","005297","075","11","03","5","7","Hombre","22","6","1","6","1","Sí","4","7","No","Sí","021303_005297_075_11_03",22
"2023","021303","005297","079","11","06","5","7","Mujer","24","2","1","5","5","No","5","7","No","Sí","021303_005297_079_11_06",24
"2023","020108","005313","021","11","03","5","7","Hombre","20","6","1","6","2","Sí","4","7","No","Sí","020108_005313_021_11_03",20
"2023","020108","005313","021","11","04","5","7","Mujer","18","6","1","6","8","Sí","3","7","No","Sí","020108_005313_021_11_04",18
"2023","020108","005313","023","11","03","5","7","Mujer","19","6","1","6","2","Sí","3","7","No","Sí","020108_005313_023_11_03",19
"2023","020701","005321","214","11","03","5","8","Mujer","20","6","1","5","6","No","5","7","No","Sí","020701_005321_214_11_03",20
"2023","020701","005321","216","11","03","5","8","Mujer","19","6","1","6","3","No",NA,NA,NA,"Sí","020701_005321_216_11_03",19
"2023","030109","005346","096","11","03","6","3","Hombre","26","6","4","6",NA,"Sí","4","7","No","Sí","030109_005346_096_11_03",26
NA,"030109","005346","096","11","05","6","3","Mujer","20","6",NA,NA,NA,NA,NA,NA,NA,NA,"030109_005346_096_11_05",20
"2023","030109","005346","096","11","06","6","3","Mujer","23","5","4","6","11","Sí","4","7","No","Sí","030109_005346_096_11_06",23
"2023","030604","005362","124","11","04","6","5","Hombre","27","1","1","4",NA,"Sí","4","7","No","Sí","030604_005362_124_11_04",27
"2023","030604","005362","124","11","05","6","5","Mujer","20","1","1","4","1","Sí","5","7","No","Sí","030604_005362_124_11_05",20
"2023","030604","005362","124","11","07","6","5","Hombre","20","1","1","5","1","Sí","4","7","No","Sí","030604_005362_124_11_07",20
